"Brand Information","品牌信息"
"Page Title","頁面標題"
"If empty, option label by store will be used.","如果為空，將使用商店中的選項標籤。"
"Url Key","網址密鑰"
"Brand Image","品牌形象"
"If empty, option visual image or default image from configuration will be used.","如果為空，將使用選項可視圖像或來自配置的默認圖像。"
"Featured","精選"
"Enabled","啟用"
"Disabled","殘"
"If 'Enabled', this brand will be displayed on featured brand slider.","如果“啟用”，該品牌將顯示在特色品牌滑塊上。"
"Short Description","簡短的介紹"
"Description","描述"
"CMS Block","CMS塊"
"Meta Information","元信息"
"Meta Title","元標題"
"Meta Keywords","元關鍵詞"
"Meta Description","元描述"
"Home","家"
"Go to Home Page","去首頁"
"Brands","品牌"
"Brand option has been saved successfully.","品牌選項已成功保存。"
"Attribute option does not exist.","屬性選項不存在。"
"-- Please select --","-  請選擇  -"
"Toplink","排名靠前"
"Footerlink","Footerlink"
"Category","類別"
"Logo Only","徽標"
"Logo and Label","標誌和標籤"
"-- Please Select --","-  請選擇  -"
"There is no sample file for this entity.","該實體沒有示例文件。"
"Sort Option","排序選項"
"Setting","設置"
"Delete","刪除"
"Choose a color","選擇一種顏色"
"Upload a file","上傳一個文件"
"Clear","明確"
"All","所有"
"label' 'char","標籤''char"
"There is no brand available.","沒有品牌可用。"
"Search a brand name","搜索品牌名稱"
"Search","搜索"
"Brand Configuration","品牌配置"
"Save","保存"
"Cancel","取消"
"Shop by brand","按品牌購買"
"General","一般"
"Enable","啟用"
"Brand Attribute","品牌屬性"
"Brand Link Title","品牌鏈接標題"
"Show Brand Link In","顯示品牌鏈接"
"All Brands Page Settings","所有品牌頁面設置"
"Brand route","品牌路線"
"Brand list name","品牌清單名稱"
"Display Option","顯示選項"
"Style Color","風格顏色"
"Show Brand Description","顯示品牌描述"
"Brand Search Settings","品牌搜索設置"
"Show Search Block","顯示搜索塊"
"Min chars","最小的字符"
"Maximum Query Result","最大查詢結果"
"Visible Image","可見圖像"
"Featured Brand Settings","精選品牌設置"
"Show Featured Brands","顯示特色品牌"
"Title","標題"
"Display Information","顯示信息"
"Embedded Code","嵌入代碼"
"Default Image","默認圖像"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","品牌的默認圖片。如果為空，將使用產品佔位符默認圖像。<br />（jpg，jpeg，gif，png）"
"Default Block","默認塊"
"Show Brand Image On Brand Page","在品牌頁面上顯示品牌形象"
"Show Brand Description On Brand Page","在品牌頁面上顯示品牌描述"
"Show Brand Static Block On Brand Page","在品牌頁面上顯示品牌靜態塊"
"Default Config","默認配置"
