"Brand Information","品牌信息"
"Page Title","页面标题"
"If empty, option label by store will be used.","如果为空，将使用商店中的选项标签。"
"Url Key","网址密钥"
"Brand Image","品牌形象"
"If empty, option visual image or default image from configuration will be used.","如果为空，将使用选项可视图像或来自配置的默认图像。"
"Featured","精选"
"Enabled","启用"
"Disabled","残"
"If 'Enabled', this brand will be displayed on featured brand slider.","如果“启用”，该品牌将显示在特色品牌滑块上。"
"Short Description","简短的介绍"
"Description","描述"
"CMS Block","CMS块"
"Meta Information","元信息"
"Meta Title","元标题"
"Meta Keywords","元关键词"
"Meta Description","元描述"
"Home","家"
"Go to Home Page","去首页"
"Brands","品牌"
"Brand option has been saved successfully.","品牌选项已成功保存。"
"Attribute option does not exist.","属性选项不存在。"
"-- Please select --","-  请选择  -"
"Toplink","排名靠前"
"Footerlink","Footerlink"
"Category","类别"
"Logo Only","徽标"
"Logo and Label","标志和标签"
"-- Please Select --","-  请选择  -"
"There is no sample file for this entity.","该实体没有示例文件。"
"Sort Option","排序选项"
"Setting","设置"
"Delete","删除"
"Choose a color","选择一种颜色"
"Upload a file","上传一个文件"
"Clear","明确"
"All","所有"
"label' 'char","标签''char"
"There is no brand available.","没有品牌可用。"
"Search a brand name","搜索品牌名称"
"Search","搜索"
"Brand Configuration","品牌配置"
"Save","保存"
"Cancel","取消"
"Shop by brand","按品牌购买"
"General","一般"
"Enable","启用"
"Brand Attribute","品牌属性"
"Brand Link Title","品牌链接标题"
"Show Brand Link In","显示品牌链接"
"All Brands Page Settings","所有品牌页面设置"
"Brand route","品牌路线"
"Brand list name","品牌清单名称"
"Display Option","显示选项"
"Style Color","风格颜色"
"Show Brand Description","显示品牌描述"
"Brand Search Settings","品牌搜索设置"
"Show Search Block","显示搜索块"
"Min chars","最小的字符"
"Maximum Query Result","最大查询结果"
"Visible Image","可见图像"
"Featured Brand Settings","精选品牌设置"
"Show Featured Brands","显示特色品牌"
"Title","标题"
"Display Information","显示信息"
"Embedded Code","嵌入代码"
"Default Image","默认图像"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","品牌的默认图片。如果为空，将使用产品占位符默认图像。<br />（jpg，jpeg，gif，png）"
"Default Block","默认块"
"Show Brand Image On Brand Page","在品牌页面上显示品牌形象"
"Show Brand Description On Brand Page","在品牌页面上显示品牌描述"
"Show Brand Static Block On Brand Page","在品牌页面上显示品牌静态块"
"Default Config","默认配置"
