"%1 star","%1 별"
"%1 star to %2 stars","%1 star to %2 stars"
"%1 stars","%1 별"
"%1 stars to %2 stars","%1 stars to %2 stars"
"-- Please select --","-- 선택 해주세요 --"
"-- Please select attribute --","- 속성을 선택하십시오 -"
"Example: .step-title{background-color: #1979c3;}","예 : .step-title {background-color : # 1979c3}"
"Add Attribute","속성 추가"
"Add New Page","새 페이지 추가"
"All Products Page","모든 제품 페이지"
"Are you sure?","확실합니까?"
"Attribute height","속성 높이"
"Attributes","속성"
"Block height","블록 높이"
"Both","양자 모두"
"Cannot delete page with ID %1","ID가 %1 인 페이지를 삭제할 수 없습니다."
"Cannot find page to delete.","삭제할 페이지를 찾을 수 없습니다."
"Category","범주"
"Choose attribute display option types.","속성 표시 옵션 유형을 선택하십시오."
"Custom Css","사용자 정의 CSS"
"Custom Products Page Information","맞춤 제품 페이지 정보"
"Custom Products Pages","맞춤 제품 페이지"
"Default","태만"
"Default Attributes","기본 속성"
"Default: 'Products'","기본값 : 'Products'"
"Delete","지우다"
"Delete Page","페이지 삭제"
"Delete successfully !","성공적으로 삭제하십시오!"
"Design Configuration","디자인 구성"
"Display Type","디스플레이 유형"
"Edit","편집하다"
"Edit Page ","페이지 편집 "
"Enable Infinite scroll","무한 스크롤 사용"
"Flat UI","플랫 UI"
"Footer link","꼬리말 링크"
"From","에서"
"Hidden","숨겨진"
"Horizontal","수평"
"Html5","HTML5"
"ID","신분증"
"If yes, products will auto load when scroll down.","그렇다면 아래로 스크롤 할 때 제품이 자동으로로드됩니다."
"Link Position","링크 위치"
"Link Title","링크 제목"
"Max height of each attribute in px. Default '200'","px로 된 각 속성의 최대 높이입니다. 기본값 '200'"
"Meta Description","메타 설명"
"Meta Keywords","메타 키워드"
"Meta Title","메타 타이틀"
"Modern","현대"
"Name","이름"
"New Page","새 페이지"
"Nice white","멋진 흰색"
"Normal","표준"
"Number of option","옵션 수"
"Number of options","옵션 수"
"Number of options in attribute can be display by default. Default '5'","속성의 옵션 수는 기본적으로 표시 될 수 있습니다. 기본 '5'"
"Options","옵션"
"Page Information","페이지 정보"
"Page Route","페이지 경로"
"Page Title","페이지 제목"
"Please enter the page name.","페이지 이름을 입력하십시오."
"Please enter the page route.","페이지 경로를 입력하십시오."
"Please enter the page title.","페이지 제목을 입력하십시오."
"Save Page","페이지 저장"
"Save and Continue Edit","저장하고 계속하기 편집"
"Scroll","스크롤"
"Show As Slider","슬라이더로 표시"
"Show Link On","링크 표시"
"Show Navigation","내비게이션 표시"
"Show Type","쇼 유형"
"Simple dark","단순한 어둠"
"Slider Type","슬라이더 유형"
"Something went wrong while saving the page.","페이지를 저장하는 동안 문제가 발생했습니다."
"Status","지위"
"Store View","스토어 뷰"
"Stores view","상점보기"
"The page doesnot exist.","페이지가 존재하지 않습니다."
"The page has been saved successfully.","페이지가 성공적으로 저장되었습니다."
"The url key ","URL 키 "
"To","에"
"Top link","상위 링크"
"Url key","URL 키"
"Use Config Settings","구성 설정 사용"
"Vertical","수직선"
"You can custom your all products page route","모든 제품 페이지 경로를 사용자 정의 할 수 있습니다."
