"%1 star","%1 зорка"
"%1 star to %2 stars","%1 зорка %2 зоркі"
"%1 stars","%1 зоркі"
"%1 stars to %2 stars","%1 зоркі на %2 зорак"
"-- Please select --","- Калі ласка, вызначце -"
"-- Please select attribute --","- Калі ласка, выберыце атрыбут -"
"Example: .step-title{background-color: #1979c3;}","Прыклад: .step-загаловак {фонавага колеру: # 1979c3;}"
"Add Attribute","Дадаць атрыбут"
"Add New Page","Дадаць новую старонку"
"All Products Page","Усе прадукты Page"
"Are you sure?","Вы ўпэўнены?"
"Attribute height","атрыбут вышыні"
"Attributes","атрыбуты"
"Block height","вышыня блока"
"Both","абедзве"
"Cannot delete page with ID %1","Немагчыма выдаліць старонку з ID %1"
"Cannot find page to delete.","Не ўдаецца знайсці старонку для выдалення."
"Category","катэгорыя"
"Choose attribute display option types.","Выберыце тыпы атрыбутаў опцый дысплея."
"Custom Css","прыстасаваныя Css"
"Custom Products Page Information","Карыстацкая Інфармацыя аб прадукцыі Page"
"Custom Products Pages","Прыстасаваныя прадукты Старонка"
"Default","дэфолт"
"Default Attributes","Па змаўчанні атрыбуты"
"Default: 'Products'","Па змаўчанні: «Прадукты»"
"Delete","выдаляць"
"Delete Page","выдаліць старонку"
"Delete successfully !","Выдаліць паспяхова!"
"Design Configuration","праектаванне канфігурацыі"
"Display Type","тып дысплея"
"Edit","рэдагаваць"
"Edit Page ","рэдагаваць старонку "
"Enable Infinite scroll","Ўключыць Бясконцыя пракруткі"
"Flat UI","плоскі UI"
"Footer link","Footer спасылка"
"From","ад"
"Hidden","схаваны"
"Horizontal","гарызантальны"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Калі так, то прадукцыя будзе аўтаматычная загрузка пры прагортцы ўніз."
"Link Position","спасылка вакансіі"
"Link Title","спасылка Назва"
"Max height of each attribute in px. Default '200'","Максімальная вышыня кожнага атрыбуту пікс. Па змаўчанні ""200»"
"Meta Description","Meta Description"
"Meta Keywords","Мета ключавыя словы"
"Meta Title","Meta Title"
"Modern","сучасны"
"Name","імя"
"New Page","Новая старонка"
"Nice white","Nice белы"
"Normal","нармаль"
"Number of option","колькасць опцыі"
"Number of options","колькасць варыянтаў"
"Number of options in attribute can be display by default. Default '5'","Колькасць опцый атрыбуту можа быць дысплей па змаўчанні. Па змаўчанні «5»"
"Options","опцыі"
"Page Information","інфармацыя пра старонку"
"Page Route","старонка маршрут"
"Page Title","Назва старонкі"
"Please enter the page name.","Калі ласка, увядзіце імя старонкі."
"Please enter the page route.","Калі ласка, увядзіце маршрут старонкі."
"Please enter the page title.","Калі ласка, увядзіце назву старонкі."
"Save Page","захаваць старонку"
"Save and Continue Edit","Захаваць і працягнуць рэдагаванне"
"Scroll","манускрыпт"
"Show As Slider","Паказаць як Slider"
"Show Link On","Паказаць спасылку на"
"Show Navigation","паказаць навігацыі"
"Show Type","паказаць Тып"
"Simple dark","просты цёмны"
"Slider Type","слайдэр Тып"
"Something went wrong while saving the page.","Нешта пайшло не так пры захаванні старонкі."
"Status","статус"
"Store View","магазін Прагляд"
"Stores view","крамы прагляду"
"The page doesnot exist.","Старонка аленевая скура існаваць."
"The page has been saved successfully.","Старонка была паспяхова захавана."
"The url key ","ключ URL "
"To","да"
"Top link","верхняе звяно"
"Url key","Url ключ"
"Use Config Settings","Выкарыстоўваць налады Config"
"Vertical","вертыкальны"
"You can custom your all products page route","Вы можаце карыстацкіх ўсе вашы старонкі прадуктаў маршрут"
