"%1 star","%1 αστέρι"
"%1 star to %2 stars","%1 αστέρι με %2 αστέρια"
"%1 stars","%1 αστέρια"
"%1 stars to %2 stars","%1 αστέρια σε %2 αστέρια"
"-- Please select --","-- Παρακαλώ επιλέξτε --"
"-- Please select attribute --","- Επιλέξτε χαρακτηριστικό -"
"Example: .step-title{background-color: #1979c3;}","Παράδειγμα: .step-title {χρώμα-φόντο: # 1979c3;}"
"Add Attribute","Προσθήκη χαρακτηριστικού"
"Add New Page","Προσθήκη νέας σελίδας"
"All Products Page","Όλα τα προϊόντα Σελίδα"
"Are you sure?","Είσαι σίγουρος?"
"Attribute height","Υψόμετρο χαρακτηριστικού"
"Attributes","Γνωρίσματα"
"Block height","Το ύψος του μπλοκ"
"Both","Και τα δυο"
"Cannot delete page with ID %1","Δεν είναι δυνατή η διαγραφή της σελίδας με αναγνωριστικό ID %1"
"Cannot find page to delete.","Δεν είναι δυνατή η εύρεση σελίδας για διαγραφή."
"Category","Κατηγορία"
"Choose attribute display option types.","Επιλέξτε τύπους επιλογών εμφάνισης χαρακτηριστικών."
"Custom Css","Προσαρμοσμένο Css"
"Custom Products Page Information","Πληροφορίες σελίδας προσαρμοσμένων προϊόντων"
"Custom Products Pages","Προσαρμοσμένες σελίδες προϊόντων"
"Default","Προκαθορισμένο"
"Default Attributes","Προεπιλεγμένες ιδιότητες"
"Default: 'Products'","Προεπιλογή: ""Προϊόντα"""
"Delete","Διαγράφω"
"Delete Page","Διαγραφή σελίδας"
"Delete successfully !","Διαγράψτε με επιτυχία!"
"Design Configuration","Διαμόρφωση σχεδιασμού"
"Display Type","Τύπος οθόνης"
"Edit","Επεξεργασία"
"Edit Page ","Επεξεργασία σελίδας "
"Enable Infinite scroll","Ενεργοποιήστε την Άπειρη κύλιση"
"Flat UI","Flat UI"
"Footer link","Υποσέλιδο σύνδεσμο"
"From","Από"
"Hidden","Κεκρυμμένος"
"Horizontal","Οριζόντιος"
"Html5","Html5"
"ID","ταυτότητα"
"If yes, products will auto load when scroll down.","Αν ναι, τα προϊόντα θα φορτωθούν αυτόματα κατά την κύλιση προς τα κάτω."
"Link Position","Θέση σύνδεσης"
"Link Title","Τίτλος συνδέσμου"
"Max height of each attribute in px. Default '200'","Μέγιστο ύψος κάθε χαρακτηριστικού σε px. Προεπιλογή '200'"
"Meta Description","Meta Περιγραφή"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Modern","Μοντέρνο"
"Name","Ονομα"
"New Page","ΝΕΑ ΣΕΛΙΔΑ"
"Nice white","Νίκαια λευκό"
"Normal","Κανονικός"
"Number of option","Αριθμός επιλογών"
"Number of options","Αριθμός επιλογών"
"Number of options in attribute can be display by default. Default '5'","Ο αριθμός των επιλογών στο χαρακτηριστικό μπορεί να εμφανιστεί από προεπιλογή. Προεπιλογή '5'"
"Options","Επιλογές"
"Page Information","Πληροφορίες σελίδας"
"Page Route","Διαδρομή σελίδας"
"Page Title","Τίτλος σελίδας"
"Please enter the page name.","Εισαγάγετε το όνομα της σελίδας."
"Please enter the page route.","Εισαγάγετε τη διαδρομή της σελίδας."
"Please enter the page title.","Εισαγάγετε τον τίτλο της σελίδας."
"Save Page","Αποθήκευση σελίδας"
"Save and Continue Edit","Αποθηκεύστε και συνεχίστε την επεξεργασία"
"Scroll","Πάπυρος"
"Show As Slider","Εμφάνιση ως ρυθμιστικό"
"Show Link On","Εμφάνιση συνδέσμου σε λειτουργία"
"Show Navigation","Εμφάνιση πλοήγησης"
"Show Type","Τύπος εμφάνισης"
"Simple dark","Απλά σκοτεινό"
"Slider Type","Τύπος ρυθμιστικού"
"Something went wrong while saving the page.","Κάτι πήγε στραβά κατά την αποθήκευση της σελίδας."
"Status","Κατάσταση"
"Store View","Προβολή καταστήματος"
"Stores view","Προβολή καταστημάτων"
"The page doesnot exist.","Η σελίδα δεν υπάρχει."
"The page has been saved successfully.","Η σελίδα αποθηκεύτηκε με επιτυχία."
"The url key ","Το κλειδί url "
"To","Προς την"
"Top link","Κορυφή σύνδεσμο"
"Url key","Πλήκτρο Url"
"Use Config Settings","Χρησιμοποιήστε τις Ρυθμίσεις διαμόρφωσης"
"Vertical","Κατακόρυφος"
"You can custom your all products page route","Μπορείτε να προσαρμόσετε τη διαδρομή της σελίδας όλων των προϊόντων"
