"Brand Information","Brand inligting"
"Page Title","Bladsy titel"
"If empty, option label by store will be used.","Indien leeg, sal opsieetiket volgens winkel gebruik word."
"Url Key","Url sleutel"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","As leë, sal opsie visuele beeld of verstekbeeld van konfigurasie gebruik word."
"Featured","Gewilde"
"Enabled","enabled"
"Disabled","gestremde"
"If 'Enabled', this brand will be displayed on featured brand slider.","As 'Geaktiveer' is, sal hierdie handelsmerk vertoon word op die handelsmerk-skuifbalk."
"Short Description","Kort beskrywing"
"Description","beskrywing"
"CMS Block","CMS Blok"
"Meta Information","Meta inligting"
"Meta Title","Meta Titel"
"Meta Keywords","Meta Sleutelwoorde"
"Meta Description","Meta Beskrywing"
"Home","huis"
"Go to Home Page","Gaan na tuisblad"
"Brands","Brands"
"Brand option has been saved successfully.","Brand opsie is suksesvol gestoor."
"Attribute option does not exist.","Attribuut opsie bestaan ​​nie."
"-- Please select --","-- Kies asseblief --"
"Toplink","toplink"
"Footerlink","Footerlink"
"Category","kategorie"
"Logo Only","Slegs logo"
"Logo and Label","Logo en Etiket"
"-- Please Select --","-- Kies asseblief --"
"There is no sample file for this entity.","Daar is geen voorbeeldlêer vir hierdie entiteit nie."
"Sort Option","Sorteer opsie"
"Setting","omgewing"
"Delete","verwyder"
"Choose a color","Kies 'n kleur"
"Upload a file","Laai 'n lêer op"
"Clear","duidelik"
"All","Almal"
"label' 'char","Etiket '' char"
"There is no brand available.","Daar is geen handelsmerk beskikbaar nie."
"Search a brand name","Soek 'n handelsnaam"
"Search","Soek"
"Brand Configuration","Brand Configuration"
"Save","Save"
"Cancel","kanselleer"
"Shop by brand","Winkel volgens handelsmerk"
"General","algemene"
"Enable","in staat te stel"
"Brand Attribute","Handelsmerk eienskap"
"Brand Link Title","Brand Link Titel"
"Show Brand Link In","Wys merk skakel in"
"All Brands Page Settings","Alle handelsmerke bladsy instellings"
"Brand route","Merk roete"
"Brand list name","Merklys naam"
"Display Option","Wys opsie"
"Style Color","Styl Kleur"
"Show Brand Description","Wys merkbeskrywing"
"Brand Search Settings","Handelsmerkinstellings"
"Show Search Block","Wys Soekblok"
"Min chars","Min karakters"
"Maximum Query Result","Maksimum navraag resultaat"
"Visible Image","Sigbare beeld"
"Featured Brand Settings","Voorgestelde handelsmerkinstellings"
"Show Featured Brands","Wys Uitstaande Brands"
"Title","Titel"
"Display Information","Vertoon inligting"
"Embedded Code","Ingebedde kode"
"Default Image","Standaard prent"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Standaard prent vir handelsmerk. As leeg, sal die produkplek-standaardbeeld gebruik word.<br /> (jpg, jpeg, gif, png)"
"Default Block","Verstekblok"
"Show Brand Image On Brand Page","Wys handelsmerkbeeld op merkbladsy"
"Show Brand Description On Brand Page","Toon handelsmerkbeskrywing op handelsmerk"
"Show Brand Static Block On Brand Page","Toon Handelsmerk Statiese Blok Op Handelsmerk"
"Default Config","Verstek Config"
