"%1 star","%1 sao"
"%1 star to %2 stars","%1 sao cho %2 sao"
"%1 stars","%1 sao"
"%1 stars to %2 stars","%1 sao tới %2 sao"
"-- Please select --","-- Vui lòng chọn --"
"-- Please select attribute --","- Hãy chọn thuộc tính -"
"Example: .step-title{background-color: #1979c3;}","Ví dụ: .step-title {background-color: # 1979c3;}"
"Add Attribute","Thêm thuộc tính"
"Add New Page","Thêm trang mới"
"All Products Page","Tất cả sản phẩm Trang"
"Are you sure?","Bạn có chắc không?"
"Attribute height","Chiều cao thuộc tính"
"Attributes","Thuộc tính"
"Block height","Chiều cao"
"Both","Cả hai"
"Cannot delete page with ID %1","Không thể xóa trang có ID %1"
"Cannot find page to delete.","Không thể tìm thấy trang để xóa."
"Category","thể loại"
"Choose attribute display option types.","Chọn các loại tùy chọn hiển thị thuộc tính."
"Custom Css","Css Tuỳ chỉnh"
"Custom Products Page Information","Thông tin Trang Sản phẩm Tùy chỉnh"
"Custom Products Pages","Trang Sản phẩm Tuỳ chỉnh"
"Default","Mặc định"
"Default Attributes","Thuộc tính mặc định"
"Default: 'Products'","Mặc định: 'Sản phẩm'"
"Delete","Xóa bỏ"
"Delete Page","Xóa trang"
"Delete successfully !","Xóa thành công!"
"Design Configuration","Thiết kế Cấu hình"
"Display Type","Loại hiển thị"
"Edit","Chỉnh sửa"
"Edit Page ","Chỉnh sửa trang "
"Enable Infinite scroll","Bật cuộn vô hạn"
"Flat UI","UI phẳng"
"Footer link","Liên kết chân"
"From","Từ"
"Hidden","Ẩn"
"Horizontal","Ngang"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Nếu có, sản phẩm sẽ tự động nạp khi cuộn xuống."
"Link Position","Vị trí liên kết"
"Link Title","Tiêu đề liên kết"
"Max height of each attribute in px. Default '200'","Chiều cao tối đa của mỗi thuộc tính bằng px. Mặc định '200'"
"Meta Description","Mô tả Meta"
"Meta Keywords","Từ khoá Meta"
"Meta Title","Tiêu đề Meta"
"Modern","Hiện đại"
"Name","Tên"
"New Page","Trang mới"
"Nice white","Đẹp trắng"
"Normal","Bình thường"
"Number of option","Số lượng tùy chọn"
"Number of options","Số lượng tùy chọn"
"Number of options in attribute can be display by default. Default '5'","Số tùy chọn trong thuộc tính có thể được hiển thị theo mặc định. Mặc định '5'"
"Options","Tùy chọn"
"Page Information","Thông tin Trang"
"Page Route","Đường trang"
"Page Title","Tiêu đề Trang"
"Please enter the page name.","Vui lòng nhập tên trang."
"Please enter the page route.","Vui lòng nhập tuyến đường trang."
"Please enter the page title.","Vui lòng nhập tiêu đề trang."
"Save Page","Lưu Trang"
"Save and Continue Edit","Lưu và Tiếp tục Chỉnh sửa"
"Scroll","Cuộn"
"Show As Slider","Hiển thị dưới dạng thanh trượt"
"Show Link On","Hiển thị Liên kết"
"Show Navigation","Hiển thị điều hướng"
"Show Type","Hiển thị loại"
"Simple dark","Đơn giản tối"
"Slider Type","Loại trượt"
"Something went wrong while saving the page.","Đã xảy ra lỗi khi lưu trang."
"Status","Trạng thái"
"Store View","Chế độ xem cửa hàng"
"Stores view","Cửa hàng xem"
"The page doesnot exist.","Trang hiện không tồn tại."
"The page has been saved successfully.","Trang đã được lưu thành công."
"The url key ","Khóa url "
"To","Đến"
"Top link","Liên kết hàng đầu"
"Url key","Phím Url"
"Use Config Settings","Sử dụng Cài đặt Cấu hình"
"Vertical","Theo chiều dọc"
"You can custom your all products page route","Bạn có thể tùy chỉnh tất cả các tuyến đường sản phẩm của bạn"
