"%1 star","%1 明星"
"%1 star to %2 stars","%1 明星到 %2 明星"
"%1 stars","%1 明星"
"%1 stars to %2 stars","%1 明星 %2 明星"
"-- Please select --","-  請選擇  -"
"-- Please select attribute --","- 請選擇屬性 -"
"Example: .step-title{background-color: #1979c3;}","例如：.step-title {background-color：＃1979c3;}"
"Add Attribute","添加屬性"
"Add New Page","添加新頁面"
"All Products Page","所有產品頁面"
"Are you sure?","你確定？"
"Attribute height","屬性高度"
"Attributes","屬性"
"Block height","塊高度"
"Both","都"
"Cannot delete page with ID %1","無法刪除ID為 %1的頁面"
"Cannot find page to delete.","找不到要刪除的頁面。"
"Category","類別"
"Choose attribute display option types.","選擇屬性顯示選項類型。"
"Custom Css","自定義CSS"
"Custom Products Page Information","定制產品頁面信息"
"Custom Products Pages","定制產品頁面"
"Default","默認"
"Default Attributes","默認屬性"
"Default: 'Products'","默認值：'產品'"
"Delete","刪除"
"Delete Page","刪除頁面"
"Delete successfully !","刪除成功！"
"Design Configuration","設計配置"
"Display Type","顯示類型"
"Edit","編輯"
"Edit Page ","編輯頁面 "
"Enable Infinite scroll","啟用無限滾動"
"Flat UI","平的UI"
"Footer link","頁腳鍊接"
"From","從"
"Hidden","隱"
"Horizontal","橫"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","如果是，則產品將在向下滾動時自動加載。"
"Link Position","鏈接位置"
"Link Title","鏈接標題"
"Max height of each attribute in px. Default '200'","每個屬性在px中的最大高度。默認'200'"
"Meta Description","元描述"
"Meta Keywords","Meta關鍵字"
"Meta Title","元標題"
"Modern","現代"
"Name","名稱"
"New Page","新一頁"
"Nice white","漂亮的白色"
"Normal","正常"
"Number of option","選項數量"
"Number of options","選項數量"
"Number of options in attribute can be display by default. Default '5'","屬性中的選項數量可以默認顯示。默認'5'"
"Options","選項"
"Page Information","頁面信息"
"Page Route","頁面路線"
"Page Title","頁面標題"
"Please enter the page name.","請輸入頁面名稱。"
"Please enter the page route.","請輸入頁面路線。"
"Please enter the page title.","請輸入頁面標題。"
"Save Page","保存頁面"
"Save and Continue Edit","保存並繼續編輯"
"Scroll","滾動"
"Show As Slider","顯示為滑塊"
"Show Link On","顯示鏈接"
"Show Navigation","顯示導航"
"Show Type","顯示類型"
"Simple dark","簡單的黑暗"
"Slider Type","滑塊類型"
"Something went wrong while saving the page.","保存頁面時出現問題。"
"Status","狀態"
"Store View","商店視圖"
"Stores view","存儲視圖"
"The page doesnot exist.","該頁面不存在。"
"The page has been saved successfully.","該頁面已成功保存。"
"The url key ","url密鑰 "
"To","至"
"Top link","頂級鏈接"
"Url key","網址鍵"
"Use Config Settings","使用配置設置"
"Vertical","垂直"
"You can custom your all products page route","您可以自定義您的所有產品頁面路線"
